City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Palmer,US,42.1584,-72.3287,41.72,60,75,8.05,broken clouds
111,Vilyuysk,RU,63.7553,121.6247,-6.86,99,100,3.98,light snow
112,Borogontsy,RU,62.6683,131.1683,-18.87,96,100,6.76,overcast clouds
113,Oga,IT,46.4631,10.347,27.28,96,100,3.44,light snow
114,Puerto Escondido,MX,15.85,-97.0667,86.41,51,1,5.32,clear sky
115,Vardo,NO,70.3705,31.1107,21.29,75,11,21.47,few clouds
116,Punta Arenas,CL,-53.15,-70.9167,53.71,58,75,26.46,broken clouds
117,Tuktoyaktuk,CA,69.4541,-133.0374,-23.8,76,1,5.75,clear sky
118,Kamina,CD,-8.7386,24.9906,66.43,77,0,4.25,clear sky
119,Codrington,AU,-38.2667,141.9667,50.14,68,12,5.68,few clouds
120,Muzhi,RU,65.3667,64.6667,-22.54,99,100,0.69,overcast clouds
121,Sitka,US,57.0531,-135.33,32.61,71,18,1.92,few clouds
122,Serebryanyy Bor,RU,56.8,124.8,-0.98,99,100,4.45,overcast clouds
123,Husavik,IS,66.0449,-17.3389,12.11,80,29,11.74,scattered clouds
124,Vanavara,RU,60.34,102.2797,16.02,82,100,14.29,light snow
125,Misratah,LY,32.3754,15.0925,61.45,56,41,17.38,scattered clouds
126,San Jose,US,37.3394,-121.895,63.72,71,75,0.0,mist
127,Alice Springs,AU,-23.7,133.8833,71.15,33,35,6.91,scattered clouds
128,Vanimo,PG,-2.6741,141.3028,77.7,90,100,6.38,overcast clouds
129,Hermanus,ZA,-34.4187,19.2345,64.9,86,100,18.01,moderate rain
130,Chicama,PE,-7.8447,-79.1469,64.94,68,99,9.28,overcast clouds
131,Portobelo,PA,9.55,-79.65,86.95,83,98,12.44,overcast clouds
132,Asosa,ET,10.0667,34.5333,67.08,33,6,4.7,clear sky
133,Georgetown,MY,5.4112,100.3354,79.9,81,20,3.0,few clouds
134,Chapais,CA,49.7834,-74.8492,4.78,93,100,0.96,overcast clouds
135,Camocim,BR,-2.9022,-40.8411,82.45,73,47,16.4,scattered clouds
136,Geraldton,AU,-28.7667,114.6,64.81,68,0,11.5,clear sky
137,Hambantota,LK,6.1241,81.1185,77.76,85,88,4.27,overcast clouds
138,Port Augusta,AU,-32.5,137.7667,59.7,55,100,6.76,overcast clouds
139,Severnyy,RU,50.677,36.5532,24.84,93,0,4.47,clear sky
140,Sambava,MG,-14.2667,50.1667,77.7,82,74,8.81,light rain
141,Hualmay,PE,-11.0964,-77.6139,70.27,77,96,8.7,overcast clouds
142,Fukue,JP,32.6881,128.8419,54.37,58,100,4.52,overcast clouds
143,Luderitz,NA,-26.6481,15.1594,61.18,89,6,5.21,clear sky
144,Lorengau,PG,-2.0226,147.2712,83.86,79,100,17.94,moderate rain
145,Arman,RU,59.7,150.1667,-6.7,95,99,5.95,overcast clouds
146,Ngunguru,NZ,-35.6167,174.5,70.16,89,100,11.5,overcast clouds
