City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
372,Rawson,AR,80.55,clear sky,-43.3002,-65.1023,Hosteria Sampedro
374,Kloulklubed,PW,77.5,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
375,Tagusao,PH,78.4,overcast clouds,9.1924,117.8141,Toledo
378,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
380,Puro,PH,76.14,overcast clouds,12.4841,123.3827,
384,Touros,BR,80.85,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
385,Carutapera,BR,79.77,overcast clouds,-1.195,-46.02,Lidera
387,Ruston,US,78.49,scattered clouds,32.5232,-92.6379,"Country Inn & Suites by Radisson, Ruston, LA"
392,Gigmoto,PH,76.42,overcast clouds,13.7796,124.39,Cj's Travellers Inn
394,Natal,BR,80.56,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
400,Auki,SB,81.88,scattered clouds,-8.7676,160.7034,Auki Motel
401,Crestview,US,76.51,overcast clouds,30.7621,-86.5705,"Holiday Inn Express & Suites Crestview South I-10, an IHG Hotel"
402,Nova Vicosa,BR,76.37,few clouds,-17.8919,-39.3719,Pousada Porto do Sol
403,Coahuayana,MX,87.3,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
404,Arinos,BR,76.21,overcast clouds,-15.9169,-46.1056,casa do bruno
406,Butterworth,MY,80.01,few clouds,5.3991,100.3638,Cititel Penang
414,Sechura,PE,75.52,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
420,Sinnamary,GF,77.76,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
421,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,Hôtel Le Dronmi
424,Marsh Harbour,BS,75.67,clear sky,26.5412,-77.0636,Abaco Beach Resort
426,Wajir,KE,81.72,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
429,San-Pedro,CI,79.92,broken clouds,4.7485,-6.6363,Hotel Maria
430,Acarau,BR,81.45,broken clouds,-2.8856,-40.12,castelo pizzaria
433,Manta,EC,77.81,broken clouds,-0.95,-80.7333,Balandra Hotel
434,Totness,SR,80.28,overcast clouds,5.8833,-56.3167,STAATS LOGEERGEBOUW TOTNESS
442,Tual,ID,82.47,moderate rain,-5.6667,132.75,Grand Vilia Hotel
448,Cockburn Town,TC,79.7,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
453,Santa Fe,AR,86.76,broken clouds,-31.6333,-60.7,Conquistador Hotel
454,Berbera,SO,76.05,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
